Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured,Insured Cost,URL,Description,Source(s),
Cyclone George,Western Australia,Port Hedland,Cyclone,3/3/07,3/8/07,3,20,"$8,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-george-western-australia/,"Tropical cyclone George formed on 3 March 2007 in the Joseph Bonaparte Gulf. By the time it crossed the coast, 50 kilometres north-east of Port Hedland on 8 March, it had intensified from a Category 3 to a Category 5 tropical cyclone.

Winds generated by George reached 154 kilometres per hour at Port Hedland before the equipment failed. Temporary accommodation at a railway camp was severely damaged with some units breaking into pieces, causing greater damage. Of the 230 workers seeking shelter at the camp 120 kilometres south of Port Hedland, three died and 22 were injured. Damage was also reported at three mining camps, where 1,000 people were cut off from rescuers by 275 kilometre per hour winds.

An emergency situation was declared under the Emergency Management Act on 9 March to assist areas impacted by George, including the local government districts of Port Hedland, Roebourne and Ashburton. Gas and oil production facilities in the region were closed for up to seven days as a result of the cyclone.

The Insurance Council of Australia estimated the 2007 damage at $8 million, with the 2011 estimated normalised cost of $12 million.","ABC News 2007, ‘PM pledges extra funding for cyclone George victims’, 12 March 2007, website viewed 12 April 2012.
ABC News 2007, ‘Police to investigate cyclone deaths’, 11 March 2007, website viewed 12 April 2012.
Australian Government DisasterAssist, Tropical Cyclone George 2007, website viewed 12 April 2012.
Bureau of Meteorology, Meteorological aspects of severe tropical cyclone George’s impact on the Pilbara, 27 February – 12 March 2007, website viewed 12 April 2012.
Bureau of Meteorology, Tropical Cyclone George, website viewed 5 April 2011.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012.",
Cyclone Larry,Queensland,Cairns,Cyclone,3/20/06,3/20/06,N/A,30,"$540,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-larry-north-queensland/,"In the morning on 20 March 2006, severe tropical cyclone Larry crossed the Queensland coast in the tropical north, near Innisfail. Between Babinda and Tully, damage to infrastructure and crops was extensive; the total estimated loss exceeded half a billion dollars.

In north-west Queensland, heavy rainfall from the cyclone isolated several townships for a number of days. As a result, food drops were required; emergency supplies had to be delivered by helicopter.

The banana industry in the region was almost wiped out. Around 200,000 tonnes of fruit was lost, worth about $300 million and representing approximately 80 percent of the national banana crop. The storm also destroyed at least $15 million worth of avocados.

The Insurance Council of Australia estimated the 2006 damage at $540 million, with the 2011 estimated normalised cost of $609 million.","Australian Geographic, Timeline: Australia’s worst cyclones, website viewed 4 March 2011.
Bureau of Meteorology, Severe tropical cyclone Larry, website viewed 4 March 2011.
Fox News, ‘Cyclone Larry Lashes Australia Coast’, 20 March 2006, website viewed 4 March 2011.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012.
The Sunday Times, ‘Cyclone Larry rips across Queensland coast’, 20 March 2006, website viewed 4 March 2011.",
Cyclone Tessi,Queensland,Townsville,Cyclone,4/2/00,4/4/00,N/A,N/A,"$15,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-tessi-queensland/,"A tropical low in the northern Coral Sea deepened into tropical Cyclone Tessi on 2 April 2000 and crossed the coast near Bambaroo and Crystal Creek (80 km north of Townsville) early on 3 April as a category 2 cyclone. Winds unroofed buildings, uprooted trees and power lines fell in the area between Ingham and Ayr. Approximately 70 per cent of Townsville lost power.

Heavy rain caused landslides on Townsville's Castle Hill destroying two homes and requiring the evacuation of another 50. Townsville Airport reported a record April wind gust of 130 km per hour and a daily rainfall total of 271.6 mm.

Although damage was widespread, the impact was considered minor.

The Insurance Council of Australia estimated the 2001 damage at $15 million, with the 2011 estimated normalised cost of $41 million.","ABC 7.30 Report, Townsville lashed by Tessi, 4 April 2000, website viewed 18 July 2011
Bureau of Meteorology, Appendix 7- The weather of 1999-2000, 2011, website viewed 18 July 2011
Bureau of Meteorology, Tropical Cyclone Tessi, 2011, website viewed 18 July 2011
Commonwealth of Australia, Hansard Senate: Cyclone Tessi, 3 April 2000, p 15005, website viewed 18 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 15 May 2012",
Cyclone Steve,Queensland,Cairns,Cyclone,2/27/00,3/9/00,1,N/A,"$11,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-steve-queensland/,"Cyclone Steve formed in the northern Coral Sea, near Willis Island, and developed into a cyclone at approximately 7 am on 27 February 2000. The cyclone intensified further during the day to reach Category 2 intensity by 1 pm, before crossing the east Queensland coast to the near north of Cairns at approximately 7 pm.

Cyclone Steve caused major flooding between Cairns and Mareeba. A record flood level of 12.4 m was reached at Mareeba at 4.37 am on 28 February 2000, with 90 people requiring evacuation and the railway bridge washed away. Many buildings in Cairns suffered severe water damage including the Cairns Hospital. Wind gusts of up to 150 km per hour caused several buildings in Cairns and Kuranda to lose their roofs. Hundreds of trees were uprooted and powerlines were brought down throughout the district, disrupting supplies to more than 40,000 residents. The two highways to the Atherton Tablelands were closed by fallen trees and landslides. Crop damage by floods and winds was severe, notably the sugar cane industry.

Cairns Emergency Services answered over 1200 calls during the course of Cyclone Steve, while the Disaster Coordination Centre took another 1800 calls. One person from the town of Cardwell was killed by the floods following the cyclone.

The Insurance Council of Australia estimated the 2000 damage at $11 million, with the 2011 estimated normalised cost of $31 million.

NOTE: This is the cost and summary for Queensland exclusively; Cyclone Steve also impacted on Northern Territory and Western Australia.","ABC, The world today archive - Cyclone Steve, 7 March 2000, website viewed 18 July 2011
Bureau of Meteorology, The impact from Tropical Cyclone Steve, 2011, website viewed 18 July 2011
Bureau of Meteorology, Tropical Cyclone Steve 27 February – 11 March 2000, 2011, website viewed 18 July 2011
Bureau of Meteorology, Tropical Cyclone Steve, 2011, website viewed 18 July 2011
Commonwealth of Australia, Hansard Senate: Cyclone Steve volunteer contribution, 6 March 2000, pp 12197-12198, website viewed 18 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012",
Cyclone Vance,Western Australia,"Dampier , Exmouth Gulf , Port Hedland",Cyclone,3/18/99,3/24/99,N/A,N/A,"$35,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-vance-western-australia/,"Cyclone Vance developed off the coast of Darwin between 17 and 18 March, intensifying as it tracked to the west south-west then to the south before crossing the coast near Exmouth on 22 March as a Category 5 system. Wind speeds were recorded at 267 km per hour at Learmonth and 174 km per hour at Onslow. By the 23 March at 4 am it was near the town of Mount Magnet and was moving southeast at 50 km per hour.

Cyclone Vance was downgraded to Category 1 and passed to the northeast of Kalgoorlie on the 23 March 2011 at approximately 3 pm.

The storm surge associated with Cyclone Vance caused severe erosion of the beachfront and marina at Exmouth and stranded three large barges on the edge of Beadon Creek at Onslow. The storm surge at Exmouth was measured at 3.5 m which resulted in a storm tide of 4.9 m.

Severe structural damage occurred to approximately 10 per cent of buildings in Exmouth; many more experienced less obvious damage due to the intrusion of rainwater. Other damage was recorded in the far west of Pilbara, including damage in the town of Cue. Water and power supplies throughout the Gascoyne and Goldfields were disrupted and many homesteads sustained wind or flooding damage. The main rail and road links to the eastern states were cut.

The Insurance Council of Australia estimated the 1999 damage at $35 million, with the 2011 estimated normalised cost at $108 million.","AAP General News Wire, ‘WA Exmouth unscathed but Coral Bay on red alert', 20 February 2008, viewed on Proquest website (ID 143147529115), 15 April 2011
Bureau of Meteorology, Tropical Cyclone Vance 18 – 24 March 1999, website viewed 15 April 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 April 2012
The Age, ‘PM pledges $10m for cyclone aid', 26 March 1999, viewed on Proquest website (ID716521321),15 April 2011 ",
Cyclone Justin,Queensland,"Cairns , Townsville",Cyclone,3/6/97,3/24/97,2,20,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-justin-north-queensland-1997/,"Tropical cyclone Justin developed on 7 March 1997 after two lows merged in a very active monsoon trough in the Coral Sea. Justin sat in the Coral Sea for three days, causing high winds and huge swells. Maximum intensity was recorded on 9 March; the cyclone was downgraded to a tropical low on 13 March. Justin then drifted north and re-intensified to tropical cyclone strength on 14 March, reaching peak intensity on 18 March before weakening and crossing the coast north-west of Cairns on 22 March.

The cyclone caused damage between Townsville and Cairns; bringing heavy rainfall, large seas and gale to storm-force winds. One person was killed in a landslide at Paluma, near Townsville; another person died from electrocution due to a fallen power line at Innisfail, 70 kilometres south-south-east of Cairns. 

Thirty people died in Papua New Guinea earlier in the life cycle of the cyclone event. A further five people died when their yacht was destroyed. As a result of the cyclone, the agricultural industry reportedly suffered losses of around $150 million with a total cost of $205 million. ","AAP General News Wire, ‘QLD: Australia's worst recent cyclones’, viewed on ProQuest website (ID 2253782701), 29 April 2011.
ABC Premium News, ‘Factbox: Australia's worst cyclones’, viewed on ProQuest website (ID 2257551071), 29 April 2011.
Bureau of Meteorology, Severe Tropical Cyclone Justin 6 - 24 March 1997, website viewed 29 April 2011.
Sydney Morning Herald, ‘Science Writer Reef may take 50 years to recover from cyclone’, 16 May 1997, p 6, viewed on ProQuest website (ID 713901171), 29 April 2011.",
Cyclone Bobby,Western Australia,Dampier,Cyclone,2/24/95,2/27/95,8,N/A,"$11,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-bobby-western-australia/,"Cyclone Bobby travelled south along the west coast of Australia and passed near Onslow.

Seven lives were lost when two fishing trawlers sunk off the coast from Onslow, and a motorist drowned while attempting to cross a flooded creek at Canarvon.

The cyclone moved along the Pilbara coast, crossing to the east of Onslow:

The highest recorded wind gust was 183 kilometres per hour at Onslow.
A gust of 166 kilometres per hour was recorded on Varanus Island, off the Western Australian coast.
Over 400 millimetres of rain falling in the Onslow area.
The event damaged homes and buildings; the rains flooded roads and damaged bridges and crops:

The Karratha area reported minor property damage.
In Onslow, the roofs of approximately 20 houses were damaged.
Damage was also reported at pastoral stations between Onslow and Gascoyne Junction.
 The mining industry was severely impacted.

The Insurance Council of Australia estimated the 1995 damage at $11 million, with the 2012 estimated normalised cost of $48 million.","Bureau of Metrology, Tropical cyclone Bobby, website viewed 8 March 2011.
Insurance Council Australia, Historical disaster statistics, January 2012, website viewed 23 April 2012.",
Cyclone Rewa,Queensland,Brisbane,Cyclone,12/31/93,1/25/94,4,N/A,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-rewa-queensland-1993/,"Tropical Cyclone Rewa formed east of the Solomon Islands on 31 December 1993. It circled in the Coral Sea for three weeks before intensifying and causing extensive damage and flash flooding in south-east Queensland on 20 January 1994.

In Brisbane 100 homes and 20 cars were damaged by water, and a total of four deaths were recorded.","Bureau of Meteorology, Tropical Cyclone Rewa 28 December 1993 – 21 January 1994, website viewed 4 May 2011
Windworker, Queensland Cyclones, website viewed 5 May 2011
Bureau of Meteorology, Tropical Cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 5 May 2011",
Cyclone Nancy,Queensland,"Brisbane , Lismore (QLD)",Cyclone,2/3/90,2/7/90,6,N/A,"$33,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-nancy-queensland/,"Tropical Cyclone Nancy crossed the coast in New South Wales at Byron Bay and moved seawards which brought about high winds and heavy rainfall. Subsequent flooding affected rivers in the central and south-east regions including the Albert, Nerang, Logan, Paroo, Bulloo and Mary. Reports stipulated some areas received 530 mm of rain over a 24 hour period.

There was extensive damage to infrastructure including houses, roads and buildings as a result of cyclonic winds that recorded wind gusts of up to 60 - 70 knots.

Cyclone Nancy dumped a large amount of rain on Newcastle, which increased the rate of movement in some structures and prompted the discovery of leaks in buildings that had previously been considered structurally sound after the December 1989 earthquake.

The Insurance Council of Australia estimated the 1990 damage caused by Cyclone Nancy at $33 million, with the 2011 estimated normalised cost of $197 million.
","Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November 1858 to 2000, website viewed 6 May 2011
Bureau of Meteorology, Queensland flood summary 1990-1999 website viewed 6 May 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 25 May 2012",
Cyclone Aivu,"Queensland , New South Wales","Brisbane , Lismore (QLD) , Mackay , Rockhampton , Lismore (NSW)",Cyclone,4/4/89,4/20/89,3,N/A,"$26,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-aivu-queensland-and-new-south-wales-1989/,"On 4 April 1989, Cyclone Aivu crossed the North Queensland coast near the Burdekin River, between Townsville and Bowen.

Previously, on 31 March, a tropical low had developed south-east of Papua New Guinea. It  had moved slowly west-south-west, reaching tropical cyclone intensity on 1 April. Cyclone Aivu tracked south-east and then south-west at 15-20 kilometres per hour and continued to intensify for some days.

The cyclone then weakened but maintained severe tropical cyclone intensity when reaching land south of Townsville with wind gusts to 200 kilometres per hour and a storm surge of up to 3 metres. One person drowned in the accompanying storm surge south of the Burdekin River. The system continued to move west-south-west after landfall and degenerated into a rain depression during the next six hours, losing identity two days later.

Cyclone Aivu produced record and near-record April rainfall totals over large parts of the coastal and central interior districts of Queensland and some parts of New South Wales. The maximum total recorded rainfalls inland from Mackay over 24 hours were 581 millimetres.

Severe local flooding occurred between Townsville and Mackay during 4 April with a flood peak at Mackay of 7.8 metres on 5 April. The major flood peak measured 13.2 metres on the Pioneer River upstream from Mackay.

In northern New South Wales, flooding occurred as a result of this cyclone and two people drowned in associated floodwaters.

The Insurance Council of Australia estimated the 1989 damage at $26 million, with the 2011 estimated normalised cost of $138 million.","Fraser B, Macquarie book of events. 1st edn. Netley, South Australia: Macquarie Library Pty.Ltd. 1984, p 575
Bureau of Meteorology, History of Townsville meteorological office, website viewed 29 April 2011
Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 29 April 2011",
Cyclone Herbie,Western Australia,Dampier,Cyclone,5/21/88,5/22/88,N/A,N/A,"$20,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-herbie-western-australia/,"Cyclone Herbie developed to the northwest of Cocos Island on 18 May before changing structure, rapidly accelerating to the southeast on 21 May, and passing over Denham in the early morning where wind speeds were recorded at 120 kilometres per hour.

Herbie caused structural damage along the coast from Carnarvon to Denham. Further north at Cape Cuvier, the Korean Star, a 30,000 tonne freighter, was wrecked. A two-metre storm surge at Denham inundated the foreshore and several fishing vessels were stranded along the main street when water levels subsided.

As the cyclone moved inland, severe dust storms occurred on its northern side. By contrast, rainfall totals greater than 100 millimetres caused flooding. The Greenough and Irwin Rivers burst their banks flooding houses, especially in Dongara.

The Insurance Council of Australia estimated the 1988 damage at $20 million with the 2011 estimated normalised cost of $117 million.
","Bureau of Meteorology, Tropical cyclones affecting Carnarvon, website viewed 23 April 2012.
Bureau of Meteorology, Tropical cyclone Herbie, website viewed 23 April 2012.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 April 2012.",
Cyclone Winifred,Queensland,Cairns,Cyclone,1/27/86,2/5/86,3,N/A,"$40,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-winifred-queensland/,"Tropical Cyclone Winifred registered as a category three cyclone and recorded wind gusts up to 175 km per hour, near Cowley Beach south of Innisfail. Damage and disruption extended from north of Cairns to Cardwell and inland on a narrow front to Ravenshoe. Flooding occurred between Babinda and Tully.

The tide gauge at Clump Point recorded a storm surge of 1.6 m, wave run-up on beaches was approximately 2 m above the astronomical tide. Significant 24 hour rainfalls during the period were Topaz 304 mm, Ravenshoe 373 mm, Tully 212 mm, lnnisfail 221 mm and Babinda 251 mm. There were three deaths.

The Insurance Council of Australia estimated the 1986 damage at $40 million, with the 2011 estimated normalised cost of $205 million.","Bureau of Meteorology, Report on Cyclone Winifred, 1986, p 3
Bureau of Meteorology, Tropical cyclone impacts along the Australian East Coast from November to April 1858 to 2000, website viewed 2 May 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 24 May 2012
The Cairns Post, ‘Memories of Winifred’, 19 March 2007, viewed on Proquest (ID 1237678031), 2 May 2011
Bureau of Meteorology, Tropical Cyclone Winifred 27 January – 5 February 1986, website viewed 2 May 2011",
Cyclone Hazel,Western Australia,Carnarvon,Cyclone,3/1/79,3/1/79,15,5,"$15,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-hazel-western-australia-1979/,"Tropical Cyclone Hazel formed off the northwest Kimberley coast and reached maximum gusts of 137 km per hour at Carnarvon.

The cyclone caused an estimated $20m worth of damage including $5m to wharf and salt loading equipment at Cape Cuvier and $2m to the banana crop in Carnarvon. A crew of 15 on a Taiwanese fishing boat was lost in heavy seas, 230 km north of Barrow Island. Considerable damage also occurred to buildings, trees, pasture and stock feed in the northern agricultural area especially around Geraldton.

The Insurance Council of Australia estimated the 1979 damage at $15 million, with the 2011 estimated normalised cost of $202 million.","Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012",
Cyclone Alby,Western Australia,Perth,Cyclone,3/27/78,4/4/78,5,N/A,"$13,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-alby-western-australia-1978/,"Tropical cyclone Alby formed north-west of Port Hedland and was detected on 27 March 1978. The cyclone moved close to the south-west corner of Western Australia on 4 April 1978, killing five people. Though widespread, the damage in the south-west area was generally minor.

Storm surges and large waves caused coastal inundation and erosion from Perth to Busselton, while very strong winds caused fires that burned hectares of forest and farming land. In terms of damage it is estimated that Alby was the most devastating storm on record to affect the south-western areas of Western Australia.

The Insurance Council of Australia estimated the 1978 damage at $13 million, with the 2011 estimated normalised cost of $265 million.","Brisbane Times, ‘Factbox: Australia’s worst recent cyclones’, 1 February 2011, website viewed 16 April 2012.
Bureau of Meteorology, Tropical Cyclone Alby, website viewed 12 April 2012.
Bureau of Meteorology, Tropical cyclones affecting Perth, website viewed 16 April 2012.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 12 April 2012.",
Cyclone Joan,Western Australia,Port Hedland,Cyclone,12/8/75,12/9/75,N/A,N/A,"$20,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-joan-western-australia/,"Tropical cyclone Joan developed over the Timor sea and was named on 1 December 1975. The system passed close to the northern tip of Western Australia before moving west to south-westerly over the ocean and gradually intensifying. Late on 6 December, Joan suddenly took a southerly direction; the eye crossed the coast 50 kilometres west of Port Hedland at about 6:00am on 8 December 1975.

Despite Port Hedland not being in the centre of the storm, the township endured winds exceeding 90 kilometres per hour for approximately 10 hours. For three hours, the winds exceeded 120 kilometres per hour. The maximum wind gust measured was 208 kilometres per hour. Severe property damage occurred at Port Hedland and other nearby townships. Eighty-five per cent of all houses were damaged to some degree. Power and communications were lost for several days.

Heavy rainfall inland caused flooding. Marandoo, near Tom Price, registered 591 millimetres while many other sites recorded rainfall over 400 millimetres. The heavy rain occurred along and just east of the cyclone track. Some of the two and three-day totals registered over the Hamersley Range represent in excess of a onc-in-100-year event.

The Insurance Council of Australia estimated the 1975 damage at $20 million, with the 2011 estimated normalised cost of $398 million","ABC Perth, ‘Factbox: Australia’s worst cyclones', 2 February 2011, website viewed 16 April 2012.
Bureau of Meteorology, Tropical Cyclone Joan 8-9 December 1975, website viewed 16 April 2012. 
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 16 April 2012.",
Cyclone Tracy,Northern Territory,Darwin,Cyclone,12/25/74,12/25/74,71,650,"$200,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-tracy-darwin-1974/,"Tropical Cyclone Tracy struck Darwin in the early hours of 25 December 1974; Tracy was rated Category 4. Before the instruments failed, wind gauges registered speeds of 217 kilometres per hour. 

The damage to buildings and infrastructure was massive; Tracy impacted all power, water, sanitation and communications. Both commercial and industrial losses were huge. Over 80 per cent of all buildings were either destroyed or left seriously damaged. 

The cyclone resulted in the deaths of 71 people; these included 22 who were lost at sea.

Cyclone Tracy caused the largest ever evacuation and reconstruction operations in peacetime Australia. A total of 35,362 people (of the approx 47,000 population) were evacuated to southern cities for many months:

25,628 by air
15,950 in civilian aircraft
9,678 in military aircraft
9734 by road.
By 1978, Darwin was estimated to have regained the population level it had in December 1974.

The Insurance Council of Australia estimated the 1974 damage at $200 million, with the 2012 estimated normalised cost of $4090 million.","Bureau of Meteorology, Cyclone Tracey Christmas 1974, website viewed 21 April 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012",
Cyclone Emily,Queensland,"Bundaberg , Rockhampton",Cyclone,3/27/72,4/2/72,8,N/A,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-emily-queensland/,"In late March 1972 Tropical cyclone Emily formed off the southern and central coasts of Queensland. The event caused eight deaths (in three separate incidents).

Flooding associated with the cyclone affected Kingaroy and Brisbane.","Australian National Geographic, Timeline: Australia’s worst cyclone, website viewed 2 May 2011.
Bureau of Meteorology, Tropical Cyclone Emily 27 March – 2 April 1972, website viewed 2 May 2011.",
Cyclone Althea,Queensland,Townsville,Cyclone,12/24/71,12/27/71,3,25,"$25,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-althea-queensland/,"On 24 December 1971, Tropical cyclone Althea swept across Townsville, resulting in three deaths.

Ninety per cent of the Magnetic Island houses were either damaged or destroyed.
At Bowen, two tornadoes caused damage to both trees and houses.
There was major flooding in Burdekin, resulting in a storm surge measuring 2.9 metres in the Townsville Harbour and a 3.66 metres storm surge north at Toolakea. Although the Toolakea storm surge occurred at low tide, the surge and large waves caused extensive damage along the Strand and at Cape Pallarenda.
The Insurance Council of Australia estimated the 1971 damage at $25 million, with the 2012 estimated normalised cost of $648 million.","The Age, ‘Now the great cyclone clean up starts’, 29 December 1971, website viewed 5 May 2011.
Brisbane Times, ‘Factbox: Australia’s worst recent cyclones’, 1 February 2011’, website viewed 5 May 2011.
Bureau of Meteorology, Report by Director of meteorology on Cyclone Althea, website viewed 5 May 2011.
Bureau of Meteorology, Severe Tropical Cyclone Althea 19 - 24 December 197’, website viewed 5 May 2011. 
Bureau of Meteorology, Tropical Cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 5 May 2011.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012.",
Cyclone Ada,Queensland,Mackay,Cyclone,1/17/70,1/19/70,14,N/A,"$12,000,000.00",https://knowledge.aidr.org.au/resources/cyclone-cyclone-ada-queensland/,"On 17 January 1970, Tropical cyclone Ada moved through the Whitsunday Island group.

Daydream Island was the worst affected with its resort destroyed. On Hayman Island, 75 per cent of buildings were destroyed. Heavy rains and flooding brought havoc and dislocation of traffic and communications in the coastal strip between Bowen and Mackay. In Shute Harbor, Airlie Beach and Cannonvale, up to 80 per cent of buildings were damaged. 

Fourteen people died as a result of the Category 4 cyclone.

The Insurance Council of Australia estimated the 1970 damage at $12 million, with the 2012 estimated normalised cost of $1001 million.","The Brisbane Times, ‘Factbox: Australia’s worst recent cyclones’, 1 February 2011, website viewed 6 May 2011.
Bureau of Meteorology, Severe tropical Cyclone Ada 19 - 24 January 1970, website viewed 6 May 2011.
Bureau of Meteorology, Tropical cyclone impacts along the Australian East coast from November to April 1858 to 2000, website viewed 6 May 2011.
Courier Mail, ‘Ada gave us a hammering’, 3 November 2007, website viewed 6 May 2011.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 23 May 2012.",
Cyclone Audrey,Northern Territory,Coburg Peninsula,Cyclone,2/28/69,3/9/69,4,N/A,Not Available,https://knowledge.aidr.org.au/resources/cyclone-audrey-northern-territory-1969/,"Cyclone Audrey began on 28 February 1969, and brought rough seas and heavy rain to the north and west coasts of the Northern Territory. It caused only minor damage, including uplifting roofs on Milingimbi and Maningrida buildings.

At Goulburn Island off the northern Arnhem Land coast, four fishermen were killed by the cyclone.","Bureau of Meteorology, Cyclones in the northern region: alphabetical listing, website viewed 15 February 2012.
Bureau of Meteorology, Tropical Cyclone Audrey 28 Feb - 9 March 1969, website viewed 15 February 2012.
Murphy K, Big blow up north – A history of tropical cyclones in Australia’s Northern Territory. 1st edn. Darwin, Northern Territory: University Planning Authority, 1984, pp 55, 86.",
Cyclone Glenda,Queensland,Brisbane,Cyclone,4/2/67,4/4/67,6,N/A,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-glenda-queensland-1967/,"In April 1967 Tropical cyclone Glenda moved south 500 kilometres east of Brisbane, resulting in large waves that eroded Gold Coast beaches. Waves up to 16 metres off the South Queensland coast were reported.

Six people died in two separate boating incidents: one on the White Ocean and five on the Beagle.
","Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 3 May 2011.
Windworker, Queensland cyclone - cyclones to have impacted on Queensland Australia from 1864, website viewed 3 May 2011",
Cyclone Agnes,Queensland,Cairns,Cyclone,3/6/56,3/7/56,4,N/A,Not Available,https://knowledge.aidr.org.au/resources/cyclone-cyclone-agnes-queensland/,"On the 6 March 1956, Cyclone Agnes, the first Australian tropical cyclone tracked on radar, passed over Townsville, Ingham, Cairns, McKay and then into the interior. The event caused damaged roofs on multiple properties; approximately 20 houses were rendered uninhabitable. 

Subsequent inland flooding caused four deaths.

The 1956 estimated damage cost was £2.5m in Cairns and an estimated damage cost of £1million in Townsville.","Fraser B, Macquarie book of events. 1st edn. Netley, South Australia: Macquarie Library Pty.Ltd. 1984, p 575
Bureau of Meteorology, History of Townsville meteorological office, website viewed 29 April 2011
Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to 2000, website viewed 29 April 2011",
Cyclone - Mackay,Queensland,Mackay,Cyclone,3/7/55,3/7/55,8,N/A,Not Available,https://knowledge.aidr.org.au/resources/cyclone-mackay-queensland-1955/,"On 7 March 1955, between Mackay and Cape Capricorn, a lugger (boat) sank when it was caught in a cyclone with winds that reached 145 km per hour. The crew of eight drowned.

Several buildings were unroofed at Yeppoon and major floods occurred at Flinders Burdekin and Fitzroy Rivers.","Bureau of Meteorology, Tropical cyclone impacts along the Australian east coast from November to April 1858 to  2000, website viewed 3 May 2011

B Fraser, Macquarie book of events, 1983, p 575",
